"Pax","Issue.Date","Sector","Cls","Net"
1,20,3,6,3350
1,20,5,6,3695
1,20,5,6,3695
1,20,2,6,3910
1,20,2,6,3910
1,20,6,6,3200
1,20,6,6,3200
1,20,1,6,4210
1,20,4,6,2999
1,20,4,6,2999
1,20,2,6,3500
1,20,5,6,3910
1,20,4,6,2999
1,20,2,6,3910
1,20,6,6,3200
1,20,4,6,2999
1,20,4,6,2999
1,20,6,6,3200
2,20,6,6,3200
1,20,5,6,2894
1,20,6,6,3200
1,20,5,6,2894
1,20,6,6,3200
1,20,1,6,4210
1,20,5,6,2894
1,20,5,6,2894
1,20,5,6,3910
1,20,5,6,3910
1,20,4,6,2595
1,20,6,6,3200
1,20,2,6,3500
1,20,3,6,2295
2,20,4,6,2999
1,20,4,6,2999
1,20,3,6,2295
1,20,3,6,2295
1,20,3,6,2295
1,20,3,6,2295
1,20,4,6,2595
1,24,2,6,3910
1,24,3,1,5380
1,24,3,1,5380
1,24,3,6,2295
1,24,3,6,2295
1,24,3,6,2295
1,24,4,6,2595
1,24,1,6,2699
1,24,3,6,2295
1,24,4,6,3200
1,24,1,6,3200
1,24,5,6,2899
1,24,5,6,2899
1,24,5,6,2899
1,24,4,6,3200
1,24,1,5,4580
1,24,1,5,4580
1,24,3,6,2494
2,24,6,6,2500
1,24,4,6,2595
1,24,4,6,3200
1,24,4,6,3200
1,24,5,6,2999
1,24,6,6,2500
1,24,6,6,2500
1,24,1,6,3200
1,24,1,6,3200
1,24,2,6,3900
1,24,4,6,3100
1,24,4,6,3100
1,24,1,6,3200
1,24,1,6,3200
1,24,4,6,3100
1,24,4,6,3100
1,24,1,6,2699
1,24,3,6,3200
1,24,5,6,2899
1,24,3,6,3200
1,24,3,6,3200
1,24,1,6,3200
1,24,1,6,2699
1,24,1,6,3200
1,24,1,6,3200
1,24,1,6,3200
1,24,1,6,3200
1,24,6,6,2200
1,24,3,6,2500
1,24,3,6,3200
1,24,6,6,2000
1,24,5,6,2899
1,24,5,6,2899
1,24,5,6,2899
1,24,6,6,2000
1,24,6,6,2000
1,24,2,6,3750
1,24,6,6,2000
1,24,2,6,3750
1,24,6,6,2000
1,24,1,6,3700
1,24,1,6,3700
1,24,5,6,3200
1,24,5,6,3200
1,24,6,6,2000
1,24,6,6,2000
1,24,6,6,2000
1,24,6,6,2000
1,24,3,6,3200
1,24,2,6,3910
1,24,5,6,2899
1,24,3,6,2500
1,24,6,6,2000
1,24,5,6,2999
1,24,5,6,2999
1,24,5,6,2999
1,24,5,6,2999
1,24,2,6,3910
1,24,2,6,3910
1,24,2,6,3910
1,24,1,6,3200
1,24,4,6,3500
1,24,3,6,3200
1,24,4,6,3195
1,24,3,6,3200
1,24,3,6,3200
1,24,4,6,3200
1,24,3,6,3200
1,24,3,6,3200
1,24,3,6,3200
1,24,4,6,3200
1,24,3,6,3200
1,24,3,6,3200
1,24,3,6,3200
1,24,1,6,3200
1,24,1,6,3200
1,24,3,6,2500
1,24,3,5,3599
1,24,3,5,3599
1,24,6,6,2500
1,24,3,6,2500
1,24,3,6,2500
1,24,3,5,3599
1,24,5,6,3500
1,24,3,6,3200
1,24,6,6,2500
1,24,1,6,3200
1,24,1,6,3200
1,28,2,4,4620
1,28,6,6,2500
1,28,2,6,3500
1,28,3,6,3350
1,28,6,6,3350
1,28,2,6,3910
1,28,5,6,3910
1,28,2,6,3910
1,28,6,6,3350
1,28,6,6,3350
2,28,6,6,3350
1,28,5,6,3910
1,28,6,6,3350
1,28,6,6,3350
1,28,6,6,3350
1,28,5,6,3200
1,28,2,6,3910
1,28,3,5,3599
1,28,2,6,3910
1,28,3,5,3599
1,28,4,6,2699
1,28,5,6,3910
1,28,6,6,3350
1,28,1,6,3700
1,28,2,6,3910
1,28,6,6,3350
1,28,6,6,3350
1,28,6,6,3350
1,28,4,6,2699
1,28,6,5,3599
1,28,2,6,3910
1,28,4,6,2699
1,28,4,6,2699
1,28,4,6,2699
1,28,6,6,3350
1,28,6,5,3599
1,28,6,5,3599
1,28,5,6,3910
1,28,5,6,3910
